class,idx
0.0,054/left/index_1.bmp
0.0,054/left/index_4.bmp
0.0,054/left/index_5.bmp
0.0,054/left/index_2.bmp
0.0,054/left/index_3.bmp
1.0,054/left/middle_1.bmp
1.0,054/left/middle_4.bmp
1.0,054/left/middle_2.bmp
1.0,054/left/middle_3.bmp
1.0,054/left/middle_5.bmp
2.0,054/left/ring_3.bmp
2.0,054/left/ring_5.bmp
2.0,054/left/ring_2.bmp
2.0,054/left/ring_1.bmp
2.0,054/left/ring_4.bmp
3.0,054/right/index_2.bmp
3.0,054/right/index_5.bmp
3.0,054/right/index_3.bmp
3.0,054/right/index_1.bmp
3.0,054/right/index_4.bmp
4.0,054/right/middle_5.bmp
4.0,054/right/middle_4.bmp
4.0,054/right/middle_3.bmp
4.0,054/right/middle_2.bmp
4.0,054/right/middle_1.bmp
5.0,054/right/ring_4.bmp
5.0,054/right/ring_2.bmp
5.0,054/right/ring_1.bmp
5.0,054/right/ring_5.bmp
5.0,054/right/ring_3.bmp
6.0,055/left/index_3.bmp
6.0,055/left/index_5.bmp
6.0,055/left/index_2.bmp
6.0,055/left/index_4.bmp
6.0,055/left/index_1.bmp
7.0,055/left/middle_4.bmp
7.0,055/left/middle_2.bmp
7.0,055/left/middle_5.bmp
7.0,055/left/middle_3.bmp
7.0,055/left/middle_1.bmp
8.0,055/left/ring_4.bmp
8.0,055/left/ring_5.bmp
8.0,055/left/ring_3.bmp
8.0,055/left/ring_2.bmp
8.0,055/left/ring_1.bmp
9.0,055/right/index_2.bmp
9.0,055/right/index_3.bmp
9.0,055/right/index_5.bmp
9.0,055/right/index_1.bmp
9.0,055/right/index_4.bmp
10.0,055/right/middle_2.bmp
10.0,055/right/middle_3.bmp
10.0,055/right/middle_4.bmp
10.0,055/right/middle_5.bmp
10.0,055/right/middle_1.bmp
11.0,055/right/ring_5.bmp
11.0,055/right/ring_3.bmp
11.0,055/right/ring_2.bmp
11.0,055/right/ring_1.bmp
11.0,055/right/ring_4.bmp
12.0,056/left/index_5.bmp
12.0,056/left/index_1.bmp
12.0,056/left/index_4.bmp
12.0,056/left/index_2.bmp
12.0,056/left/index_3.bmp
13.0,056/left/middle_5.bmp
13.0,056/left/middle_1.bmp
13.0,056/left/middle_3.bmp
13.0,056/left/middle_2.bmp
13.0,056/left/middle_4.bmp
14.0,056/left/ring_3.bmp
14.0,056/left/ring_2.bmp
